date,equity
2000-01-03,100000.0
2000-01-04,100000.0
2000-01-05,100000.0
2000-01-06,100000.0
2000-01-07,100000.0
2000-01-10,100000.0
2000-01-11,100000.0
2000-01-12,100000.0
2000-01-13,100000.0
2000-01-14,100000.0
2000-01-18,100000.0
2000-01-19,100000.0
2000-01-20,100000.0
2000-01-21,100000.0
2000-01-24,100000.0
2000-01-25,100000.0
2000-01-26,100000.0
2000-01-27,100000.0
2000-01-28,100000.0
2000-01-31,100000.0
2000-02-01,100000.0
2000-02-02,100000.0
2000-02-03,100000.0
2000-02-04,100000.0
2000-02-07,100000.0
2000-02-08,100000.0
2000-02-09,100000.0
2000-02-10,100000.0
2000-02-11,100000.0
2000-02-14,100000.0
2000-02-15,100000.0
2000-02-16,100000.0
2000-02-17,100000.0
2000-02-18,100000.0
2000-02-22,100000.0
2000-02-23,100000.0
2000-02-24,100000.0
2000-02-25,100000.0
2000-02-28,100000.0
2000-02-29,100000.0
2000-03-01,100000.0
2000-03-02,100000.0
2000-03-03,100000.0
2000-03-06,100000.0
2000-03-07,100000.0
2000-03-08,100000.0
2000-03-09,100000.0
2000-03-10,100000.0
2000-03-13,100000.0
2000-03-14,100000.0
2000-03-15,100000.0
2000-03-16,100000.0
2000-03-17,100000.0
2000-03-20,100000.0
2000-03-21,100000.0
2000-03-22,100000.0
2000-03-23,100000.0
2000-03-24,100000.0
2000-03-27,100000.0
2000-03-28,100000.0
2000-03-29,100000.0
2000-03-30,100000.0
2000-03-31,100000.0
2000-04-03,100000.0
2000-04-04,100000.0
2000-04-05,100000.0
2000-04-06,100000.0
2000-04-07,100000.0
2000-04-10,100000.0
2000-04-11,100000.0
2000-04-12,100000.0
2000-04-13,100000.0
2000-04-14,100000.0
2000-04-17,100000.0
2000-04-18,100000.0
2000-04-19,100000.0
2000-04-20,100000.0
2000-04-24,100000.0
2000-04-25,100000.0
2000-04-26,100000.0
2000-04-27,100000.0
2000-04-28,100000.0
2000-05-01,100719.54576685598
2000-05-02,100325.77071542804
2000-05-03,100067.09561672174
2000-05-04,100799.51274181649
2000-05-05,100753.93796878647
2000-05-08,101069.64842820108
2000-05-09,101067.26396184682
2000-05-10,101001.93421192619
2000-05-11,101951.7152779911
2000-05-12,101751.66245500864
2000-05-15,102447.11008390773
2000-05-16,102645.95296114945
2000-05-17,101774.77243173464
2000-05-18,101861.08000191026
2000-05-19,101917.12570937013
2000-05-22,102302.7629529928
2000-05-23,102179.94914092285
2000-05-24,102778.36610781422
2000-05-25,102145.43657686512
2000-05-26,102302.71396598007
2000-05-30,102281.41603079044
2000-05-31,102208.18839262125
2000-06-01,102544.16188551123
2000-06-02,102765.9929068161
2000-06-05,101825.68812428584
2000-06-06,102381.41373068187
2000-06-07,102286.39419700325
2000-06-08,102315.15177711028
2000-06-09,102648.41734760984
2000-06-12,102830.26193045474
2000-06-13,103288.36905834339
2000-06-14,103477.52497224379
2000-06-15,103573.14840475998
2000-06-16,103307.77304213383
2000-06-19,102886.63197167647
2000-06-20,102779.53966331939
2000-06-21,102634.51356646442
2000-06-22,102147.19961217591
2000-06-23,102078.37605480266
2000-06-26,102271.6590895155
2000-06-27,101853.44933305787
2000-06-28,102436.39924702674
2000-06-29,101999.57185263502
2000-06-30,100060.86772803929
2000-07-03,101854.14603704208
2000-07-05,101781.53302879547
2000-07-06,102339.01381884971
2000-07-07,102780.60546306407
2000-07-10,103069.4962323441
2000-07-11,103597.20194108797
2000-07-12,103497.84395885273
2000-07-13,103577.14261264922
2000-07-14,103315.9180544442
2000-07-17,103293.68221184897
2000-07-18,103287.7731623713
2000-07-19,103634.24081283226
2000-07-20,103958.86436543951
2000-07-21,103707.38197009669
2000-07-24,103549.08093355135
2000-07-25,103838.96578443774
2000-07-26,103671.06955675322
2000-07-27,104446.7810400058
2000-07-28,104162.5147974527
2000-07-31,104319.84550878823
2000-08-01,105771.2831169474
2000-08-02,106254.2225805432
2000-08-03,106616.65255632171
2000-08-04,106642.66081787946
2000-08-07,107275.43683406828
2000-08-08,107926.71378783108
2000-08-09,107613.16124637795
2000-08-10,107786.96550278031
2000-08-11,108644.31734294855
2000-08-14,108992.51781682736
2000-08-15,108831.50499703443
2000-08-16,108900.69846106022
2000-08-17,109043.45659799759
2000-08-18,108728.83256761039
2000-08-21,108599.7578605727
2000-08-22,108409.28847013005
2000-08-23,108155.80782843553
2000-08-24,107520.81112504873
2000-08-25,107363.35819161178
2000-08-28,107554.20669406484
2000-08-29,107157.58048672097
2000-08-30,107431.0016072423
2000-08-31,108083.5686232764
2000-09-01,108079.72787136675
2000-09-05,108620.77013979168
2000-09-06,109451.3590699264
2000-09-07,110035.66290982423
2000-09-08,111059.12393343169
2000-09-11,111934.98105768203
2000-09-12,112044.41350656527
2000-09-13,111796.11554128512
2000-09-14,111266.85388945599
2000-09-15,111585.58074867571
2000-09-18,110498.94035494649
2000-09-19,109563.47830197438
2000-09-20,108746.73151023332
2000-09-21,108336.45577445779
2000-09-22,109120.998486573
2000-09-25,108931.07732681968
2000-09-26,109933.96042074874
2000-09-27,110965.22119029165
2000-09-28,111881.30086321497
2000-09-29,111953.45539413948
2000-10-02,111559.54037028865
2000-10-03,111289.98715785221
2000-10-04,110104.91412489723
2000-10-05,109416.96074273677
2000-10-06,109483.83069201709
2000-10-09,109793.24194731441
2000-10-10,110110.8314919486
2000-10-11,109910.58210165297
2000-10-12,109305.07033684941
2000-10-13,109726.75992968881
2000-10-16,110098.60433374792
2000-10-17,109458.16080247628
2000-10-18,108670.17717240933
2000-10-19,109325.54670988549
2000-10-20,109390.40408711575
2000-10-23,109348.7596359288
2000-10-24,109066.85015000094
2000-10-25,108341.25322516108
2000-10-26,108516.36831108462
2000-10-27,109726.9796123138
2000-10-30,111190.70365979224
2000-10-31,111607.28467065582
2000-11-01,112161.93499557656
2000-11-02,111864.75458623131
2000-11-03,111236.80706326781
2000-11-06,111466.7222182217
2000-11-07,111469.91052822348
2000-11-08,112104.317130436
2000-11-09,112253.57235639603
2000-11-10,112022.66090075558
2000-11-13,111946.3051294507
2000-11-14,111944.6091258075
