date,equity
2000-01-03,100000.0
2000-01-04,100000.0
2000-01-05,100000.0
2000-01-06,100000.0
2000-01-07,100000.0
2000-01-10,100000.0
2000-01-11,100000.0
2000-01-12,100000.0
2000-01-13,100000.0
2000-01-14,100000.0
2000-01-18,100000.0
2000-01-19,100000.0
2000-01-20,100000.0
2000-01-21,100000.0
2000-01-24,100000.0
2000-01-25,100000.0
2000-01-26,100000.0
2000-01-27,100000.0
2000-01-28,100000.0
2000-01-31,100000.0
2000-02-01,100000.0
2000-02-02,100000.0
2000-02-03,100000.0
2000-02-04,100000.0
2000-02-07,100000.0
2000-02-08,108040.44735888936
2000-02-09,104437.54372581042
2000-02-10,101816.6637644339
2000-02-11,97829.78414488387
2000-02-14,98738.77690688937
2000-02-15,98344.08527156849
2000-02-16,97906.08266873586
2000-02-17,99493.20943757583
2000-02-18,96215.35194681745
2000-02-22,95353.22130076462
2000-02-23,96426.84775954892
2000-02-24,96806.6333697732
2000-02-25,97646.46816499248
2000-02-28,96571.03232011943
2000-02-29,99146.43453577253
2000-03-01,100440.07149356071
2000-03-02,104132.67637947355
2000-03-03,106309.15932720686
2000-03-06,107721.04666396132
2000-03-07,107344.05971689432
2000-03-08,108515.76460593211
2000-03-09,112279.63708364368
2000-03-10,114539.69046269718
2000-03-13,113393.07691710499
2000-03-14,111044.16391587204
2000-03-15,111731.75321144916
2000-03-16,115432.76015351924
2000-03-17,113996.40098999663
2000-03-20,111900.36079790264
2000-03-21,111779.11709546833
2000-03-22,112596.99654109243
2000-03-23,113099.7415485414
2000-03-24,112868.84878987032
2000-03-27,112298.5077457516
2000-03-28,110756.31207147946
2000-03-29,108335.96342016335
2000-03-30,107092.47610372261
2000-03-31,110611.38447473233
2000-04-03,106335.08447887568
2000-04-04,106267.29105282309
2000-04-05,106910.90990596284
2000-04-06,109300.72141058446
2000-04-07,111349.8391740563
2000-04-10,108784.59724187029
2000-04-11,107842.69906496642
2000-04-12,105971.00918638436
2000-04-13,106517.97110807768
2000-04-14,100982.3224043199
2000-04-17,100376.39098404214
2000-04-18,104153.24779919928
2000-04-19,105968.24318885349
2000-04-20,105295.20555909662
2000-04-24,103599.18143545557
2000-04-25,108377.7452317274
2000-04-26,108142.75822386298
2000-04-27,108689.71442648121
2000-04-28,110144.85039242958
2000-05-01,111839.06769353856
2000-05-02,110306.89064126606
2000-05-03,108136.28490288867
2000-05-04,110310.04120828019
2000-05-05,112544.38663485869
2000-05-08,110596.55109438841
2000-05-09,108954.38506014568
2000-05-10,104916.03646765184
2000-05-11,107649.75912662705
2000-05-12,107905.83628233068
2000-05-15,108329.92463169016
2000-05-16,109876.99393927562
2000-05-17,108210.70812351235
2000-05-18,106436.63657641351
2000-05-19,103103.83197903687
2000-05-22,102057.40438003567
2000-05-23,99518.34250565442
2000-05-24,99825.9693058626
2000-05-25,101842.9710432494
2000-05-26,101379.61383541152
2000-05-30,105744.67138701466
2000-05-31,105328.66361106599
2000-06-01,106861.48019858534
2000-06-02,110017.75701621851
2000-06-05,107620.03766559028
2000-06-06,106995.76114970469
2000-06-07,106640.2200455268
2000-06-08,106540.34751309434
2000-06-09,107334.44262215859
2000-06-12,107127.44627055619
2000-06-13,108810.07352858131
2000-06-14,109122.99322201502
2000-06-15,109654.52083081819
2000-06-16,109061.21127919508
2000-06-19,109490.48789094195
2000-06-20,110241.32830104815
2000-06-21,109866.64588630323
2000-06-22,109055.82853275373
2000-06-23,109212.20511284501
2000-06-26,110031.5967665616
2000-06-27,110520.22460791934
2000-06-28,111384.60898878661
2000-06-29,111713.66651159036
2000-06-30,110243.9850193036
2000-07-03,111630.77722101226
2000-07-05,112393.47161479927
2000-07-06,114521.55911121116
2000-07-07,114857.84364746523
2000-07-10,116532.78825686546
2000-07-11,116297.4901492015
2000-07-12,117286.73722063113
2000-07-13,116905.13325553507
2000-07-14,118686.7237100957
2000-07-17,118962.17104402158
2000-07-18,118383.19382811913
2000-07-19,116106.2846472095
2000-07-20,117625.29688378458
2000-07-21,116909.62627919295
2000-07-24,115226.25841387163
2000-07-25,114650.41021053058
2000-07-26,114106.00905429802
2000-07-27,114059.74723149801
2000-07-28,114399.19723745475
2000-07-31,117200.32826503455
2000-08-01,118219.07437871957
2000-08-02,118550.99445314617
2000-08-03,119537.06374693054
2000-08-04,119788.39177375278
2000-08-07,120847.75895443516
2000-08-08,120784.66528213458
2000-08-09,119989.92242266353
2000-08-10,119771.68321154497
2000-08-11,121947.17775490928
2000-08-14,123759.4526290829
2000-08-15,122326.8714799582
2000-08-16,123035.27396260401
2000-08-17,123979.09010240114
2000-08-18,122041.15320396547
2000-08-21,123133.36841161897
2000-08-22,122953.05293020133
2000-08-23,120977.82828120238
2000-08-24,120374.02714630943
2000-08-25,121386.2751334045
2000-08-28,121241.84087310666
2000-08-29,121864.64969053959
2000-08-30,122464.73849024276
2000-08-31,123935.321131733
2000-09-01,123293.15416550142
2000-09-05,123316.29661117955
2000-09-06,123573.21256975172
2000-09-07,123755.3978677461
2000-09-08,124610.18680450086
2000-09-11,124966.85573428933
2000-09-12,125421.14827349775
2000-09-13,126173.81265961849
2000-09-14,127232.21470334931
2000-09-15,126213.69283347424
2000-09-18,123566.00177389594
2000-09-19,122698.99656069312
2000-09-20,121838.96912205845
2000-09-21,122457.82153085097
2000-09-22,124262.02774593257
2000-09-25,124052.1975724832
2000-09-26,123423.71781796157
2000-09-27,122636.42150119098
2000-09-28,124341.74723804668
2000-09-29,123507.0749784408
2000-10-02,124183.02893311455
2000-10-03,123952.99915172847
2000-10-04,124333.60981795132
2000-10-05,124069.0727719865
2000-10-06,121892.54109847399
2000-10-09,122602.63850494588
2000-10-10,122456.55493889128
2000-10-11,120738.49504235829
2000-10-12,119621.77336076583
2000-10-13,119633.80478336825
2000-10-16,119838.77604149755
2000-10-17,118012.57637240677
2000-10-18,118138.42023358545
2000-10-19,120204.32700575629
2000-10-20,121064.38952134171
2000-10-23,121883.22037975625
2000-10-24,120971.69609667649
2000-10-25,120808.18454907909
2000-10-26,120607.9465140254
2000-10-27,121977.96635191362
2000-10-30,125932.25734600579
