date,equity
2000-01-03,100000.0
2000-01-04,100000.0
2000-01-05,100000.0
2000-01-06,100000.0
2000-01-07,100000.0
2000-01-10,100000.0
2000-01-11,100000.0
2000-01-12,100000.0
2000-01-13,100000.0
2000-01-14,100000.0
2000-01-18,100000.0
2000-01-19,100000.0
2000-01-20,100000.0
2000-01-21,100000.0
2000-01-24,100000.0
2000-01-25,100000.0
2000-01-26,100000.0
2000-01-27,100000.0
2000-01-28,100000.0
2000-01-31,100000.0
2000-02-01,100000.0
2000-02-02,100000.0
2000-02-03,100000.0
2000-02-04,100000.0
2000-02-07,100000.0
2000-02-08,100000.0
2000-02-09,100000.0
2000-02-10,100000.0
2000-02-11,100000.0
2000-02-14,100000.0
2000-02-15,100000.0
2000-02-16,100000.0
2000-02-17,100000.0
2000-02-18,100000.0
2000-02-22,100000.0
2000-02-23,100000.0
2000-02-24,100000.0
2000-02-25,100000.0
2000-02-28,100000.0
2000-02-29,100000.0
2000-03-01,100000.0
2000-03-02,100000.0
2000-03-03,100000.0
2000-03-06,100000.0
2000-03-07,100000.0
2000-03-08,100000.0
2000-03-09,100000.0
2000-03-10,100000.0
2000-03-13,100000.0
2000-03-14,100000.0
2000-03-15,100000.0
2000-03-16,100000.0
2000-03-17,100000.0
2000-03-20,100000.0
2000-03-21,100000.0
2000-03-22,100000.0
2000-03-23,100000.0
2000-03-24,100000.0
2000-03-27,100000.0
2000-03-28,100000.0
2000-03-29,100000.0
2000-03-30,100000.0
2000-03-31,100000.0
2000-04-03,100000.0
2000-04-04,100000.0
2000-04-05,100000.0
2000-04-06,100000.0
2000-04-07,100000.0
2000-04-10,100000.0
2000-04-11,100000.0
2000-04-12,100000.0
2000-04-13,100000.0
2000-04-14,100000.0
2000-04-17,100000.0
2000-04-18,100000.0
2000-04-19,100000.0
2000-04-20,100000.0
2000-04-24,100000.0
2000-04-25,100000.0
2000-04-26,100000.0
2000-04-27,100000.0
2000-04-28,100000.0
2000-05-01,100000.0
2000-05-02,100000.0
2000-05-03,100000.0
2000-05-04,100000.0
2000-05-05,100000.0
2000-05-08,100000.0
2000-05-09,100000.0
2000-05-10,100000.0
2000-05-11,100000.0
2000-05-12,100000.0
2000-05-15,100000.0
2000-05-16,100000.0
2000-05-17,100000.0
2000-05-18,100000.0
2000-05-19,100000.0
2000-05-22,100000.0
2000-05-23,100000.0
2000-05-24,100000.0
2000-05-25,100000.0
2000-05-26,100000.0
2000-05-30,100000.0
2000-05-31,100000.0
2000-06-01,100000.0
2000-06-02,100000.0
2000-06-05,100000.0
2000-06-06,100000.0
2000-06-07,100000.0
2000-06-08,100000.0
2000-06-09,100000.0
2000-06-12,100000.0
2000-06-13,100000.0
2000-06-14,100000.0
2000-06-15,100000.0
2000-06-16,100000.0
2000-06-19,100000.0
2000-06-20,100000.0
2000-06-21,100000.0
2000-06-22,100000.0
2000-06-23,100000.0
2000-06-26,100000.0
2000-06-27,100000.0
2000-06-28,100000.0
2000-06-29,100000.0
2000-06-30,100000.0
2000-07-03,100010.70035785262
2000-07-05,100043.27205081389
2000-07-06,100867.11157285224
2000-07-07,101291.00252717746
2000-07-10,101902.80016640549
2000-07-11,103261.16404658757
2000-07-12,103286.467774181
2000-07-13,102224.01185447043
2000-07-14,102017.82835811417
2000-07-17,103244.98592526061
2000-07-18,102413.34569223503
2000-07-19,101751.13892247336
2000-07-20,102836.77982875732
2000-07-21,102550.49377666591
2000-07-24,102666.35327630937
2000-07-25,101424.64223915935
2000-07-26,101147.99339510466
2000-07-27,101406.10748285319
2000-07-28,101208.84875905946
2000-07-31,101800.21279585261
2000-08-01,102807.77958208842
2000-08-02,102998.35790130578
2000-08-03,103638.93559668736
2000-08-04,104183.99970364076
2000-08-07,105433.4089923282
2000-08-08,105440.62656063307
2000-08-09,104656.40926230609
2000-08-10,104761.04999907862
2000-08-11,105881.07980708861
2000-08-14,106601.89742830566
2000-08-15,105587.07651360055
2000-08-16,105568.43943391528
2000-08-17,106465.8729622845
2000-08-18,106157.78718822503
2000-08-21,107081.1080334809
2000-08-22,106783.40942139359
2000-08-23,106478.26350823265
2000-08-24,106619.82050047058
2000-08-25,106843.33754136035
2000-08-28,107127.49959292315
2000-08-29,106565.74085816047
2000-08-30,107301.34678705283
2000-08-31,108772.7480520007
2000-09-01,109111.78253629823
2000-09-05,108510.8267715554
2000-09-06,108082.19153021672
2000-09-07,109340.99620906757
2000-09-08,109633.38215805963
2000-09-11,110202.15624226072
2000-09-12,109924.64096975676
2000-09-13,109828.35343801438
2000-09-14,110407.4408168086
2000-09-15,109818.32675175603
2000-09-18,107247.31930501839
2000-09-19,108199.1838486252
2000-09-20,108094.00306808238
2000-09-21,107227.49670669083
2000-09-22,109486.96790316781
2000-09-25,110481.20961859962
2000-09-26,110567.70297851547
2000-09-27,111618.02859033833
2000-09-28,113325.19382855167
2000-09-29,113050.57261987914
2000-10-02,113179.37651672211
2000-10-03,112288.51688830885
2000-10-04,111758.45579623805
2000-10-05,111707.3489751432
2000-10-06,110281.56413972744
2000-10-09,109732.10232751603
2000-10-10,109266.74918841859
2000-10-11,108586.23398565425
2000-10-12,106078.39864502625
2000-10-13,109003.27768847746
2000-10-16,110138.11360830306
2000-10-17,109243.87100730746
2000-10-18,107818.22761670881
2000-10-19,109951.14287859782
2000-10-20,110374.88154448758
2000-10-23,110287.54103106087
2000-10-24,110076.53128705795
2000-10-25,108868.62714125316
2000-10-26,108866.34401216677
2000-10-27,110121.56906902253
2000-10-30,112150.2501389907
2000-10-31,113626.45951698822
2000-11-01,113120.55459279871
2000-11-02,113374.56446857959
2000-11-03,112961.9388534445
2000-11-06,113777.75183524472
2000-11-07,113614.25453135218
2000-11-08,113395.32529328746
2000-11-09,113582.81339041125
2000-11-10,112459.13594054067
2000-11-13,111196.91181617512
2000-11-14,112878.33805178187
2000-11-15,113933.97025506546
2000-11-16,113558.74946308315
2000-11-17,113814.48254214048
2000-11-20,112081.6645766014
2000-11-21,112698.68914969236
2000-11-22,111446.56686085979
2000-11-24,112787.6249558893
2000-11-27,113464.14943819787
2000-11-28,112700.35436418637
