year,strategy,sharpe,cagr,max_drawdown,n_days
2006,high_quality_roic,1.765,0.1891,-0.0474,251
2006,low_volatility_shield,1.9392,0.213,-0.057,251
2006,dividend_aristocrats,1.9868,0.2061,-0.0389,251
2006,moving_average_trend,1.3886,0.1849,-0.0836,251
2006,rsi_mean_reversion,1.53,0.2019,-0.0836,251
2006,value_momentum_blend,1.4301,0.1884,-0.0831,251
2006,quality_momentum,1.3791,0.1833,-0.0846,251
2006,quality_low_vol,1.7528,0.1957,-0.0575,251
2006,composite_factor_score,1.4407,0.1829,-0.078,251
2006,volatility_targeting,1.48,0.196,-0.0836,251
2006,earnings_surprise_momentum,1.654,0.2589,-0.1261,251
2007,benchmark,0.5122,0.0951,-0.0969,251
2007,large_cap_momentum,0.4265,0.0812,-0.1078,251
2007,52_week_high_breakout,0.3566,0.067,-0.0997,251
2007,deep_value_all_cap,0.3206,0.0605,-0.1,251
2007,high_quality_roic,0.1759,0.0358,-0.0932,251
2007,low_volatility_shield,0.2517,0.0482,-0.0926,251
2007,dividend_aristocrats,0.0616,0.0171,-0.0991,251
2007,moving_average_trend,0.4187,0.0783,-0.1025,251
2007,rsi_mean_reversion,0.2621,0.0503,-0.095,251
2007,value_momentum_blend,0.295,0.0564,-0.1004,251
2007,quality_momentum,0.3175,0.0604,-0.101,251
2007,quality_low_vol,0.2552,0.0487,-0.0947,251
2007,composite_factor_score,0.2871,0.0549,-0.0997,251
2007,volatility_targeting,0.3522,0.0664,-0.1009,251
2007,earnings_surprise_momentum,0.4614,0.0874,-0.1259,251
2008,benchmark,-0.8808,-0.3549,-0.5126,253
2008,large_cap_momentum,-0.9958,-0.3894,-0.5381,253
2008,52_week_high_breakout,-0.9585,-0.3629,-0.5062,253
2008,deep_value_all_cap,-0.9642,-0.361,-0.5041,253
2008,high_quality_roic,-0.8806,-0.3251,-0.4627,253
2008,low_volatility_shield,-0.8442,-0.3061,-0.45,253
2008,dividend_aristocrats,-0.8582,-0.3084,-0.4252,253
2008,moving_average_trend,-1.0346,-0.3691,-0.4956,253
2008,rsi_mean_reversion,-0.9675,-0.3577,-0.4983,253
2008,value_momentum_blend,-0.9547,-0.3637,-0.5075,253
2008,quality_momentum,-0.956,-0.3654,-0.5109,253
2008,quality_low_vol,-0.8827,-0.3264,-0.464,253
2008,composite_factor_score,-0.9289,-0.3561,-0.5008,253
2008,volatility_targeting,-0.9738,-0.363,-0.5048,253
2008,earnings_surprise_momentum,-1.3067,-0.4031,-0.4765,253
2009,benchmark,1.2348,0.4499,-0.2959,252
2009,large_cap_momentum,1.2498,0.4456,-0.2784,252
2009,52_week_high_breakout,1.0986,0.3752,-0.2982,252
2009,deep_value_all_cap,1.125,0.3837,-0.2946,252
2009,high_quality_roic,0.8534,0.2593,-0.311,252
2009,low_volatility_shield,0.9398,0.2881,-0.3023,252
2009,dividend_aristocrats,0.723,0.1897,-0.2925,252
2009,moving_average_trend,1.0661,0.3124,-0.2565,252
2009,rsi_mean_reversion,1.1463,0.383,-0.2791,252
2009,value_momentum_blend,1.1167,0.3861,-0.2985,252
2009,quality_momentum,1.0978,0.379,-0.2994,252
2009,quality_low_vol,0.9295,0.2916,-0.3109,252
2009,composite_factor_score,1.0522,0.3583,-0.3054,252
2009,volatility_targeting,1.1269,0.3854,-0.2938,252
2009,earnings_surprise_momentum,1.4814,0.4568,-0.1207,252
2010,benchmark,1.1787,0.2668,-0.1546,252
2010,large_cap_momentum,0.9074,0.2043,-0.1637,252
2010,52_week_high_breakout,0.9716,0.2124,-0.1578,252
2010,deep_value_all_cap,0.9562,0.2112,-0.1618,252
2010,high_quality_roic,1.013,0.2006,-0.1294,252
2010,low_volatility_shield,1.0103,0.2046,-0.1391,252
2010,dividend_aristocrats,0.922,0.1677,-0.115,252
2010,moving_average_trend,0.9823,0.2187,-0.1617,252
2010,rsi_mean_reversion,0.9062,0.1931,-0.1581,252
2010,value_momentum_blend,0.9654,0.212,-0.1589,252
2010,quality_momentum,0.9721,0.2141,-0.1598,252
2010,quality_low_vol,0.9851,0.2061,-0.1478,252
2010,composite_factor_score,0.9997,0.2211,-0.1595,252
2010,volatility_targeting,0.9613,0.2086,-0.157,252
2010,earnings_surprise_momentum,0.6815,0.152,-0.1905,252
2011,benchmark,0.1557,0.0267,-0.2306,252
2011,large_cap_momentum,0.0935,0.0098,-0.2327,252
2011,52_week_high_breakout,0.1037,0.0139,-0.2209,252
2011,deep_value_all_cap,0.111,0.0157,-0.2211,252
2011,high_quality_roic,0.2939,0.0636,-0.1895,252
2011,low_volatility_shield,0.27,0.0568,-0.1839,252
2011,dividend_aristocrats,0.3059,0.0647,-0.1692,252
2011,moving_average_trend,0.1094,0.0168,-0.2078,252
2011,rsi_mean_reversion,0.1193,0.0185,-0.2174,252
2011,value_momentum_blend,0.1094,0.0153,-0.2204,252
2011,quality_momentum,0.1061,0.0143,-0.2229,252
2011,quality_low_vol,0.2083,0.0419,-0.2037,252
2011,composite_factor_score,0.152,0.0261,-0.2201,252
2011,volatility_targeting,0.105,0.0145,-0.2209,252
2011,earnings_surprise_momentum,0.1361,0.0233,-0.2287,252
2012,benchmark,1.3565,0.2212,-0.1033,250
2012,large_cap_momentum,1.1077,0.1839,-0.1146,250
2012,52_week_high_breakout,1.1755,0.1885,-0.1071,250
2012,deep_value_all_cap,1.1618,0.1845,-0.1058,250
2012,high_quality_roic,1.227,0.1822,-0.0888,250
2012,low_volatility_shield,1.1387,0.1665,-0.083,250
2012,dividend_aristocrats,1.1132,0.1485,-0.0708,250
2012,moving_average_trend,1.1334,0.1806,-0.1094,250
2012,rsi_mean_reversion,1.1796,0.1858,-0.1073,250
2012,value_momentum_blend,1.1709,0.188,-0.1081,250
2012,quality_momentum,1.1711,0.1886,-0.1085,250
2012,quality_low_vol,1.2842,0.192,-0.0892,250
2012,composite_factor_score,1.1739,0.1894,-0.1077,250
2012,volatility_targeting,1.2024,0.1923,-0.1081,250
2012,earnings_surprise_momentum,1.0467,0.1825,-0.0933,250
2013,benchmark,2.633,0.3909,-0.0619,252
2013,large_cap_momentum,2.5412,0.3826,-0.0598,252
2013,52_week_high_breakout,2.5221,0.373,-0.0623,252
2013,deep_value_all_cap,2.5318,0.3709,-0.062,252
2013,high_quality_roic,2.5898,0.3554,-0.0573,252
2013,low_volatility_shield,2.5462,0.3555,-0.0615,252
2013,dividend_aristocrats,2.4061,0.3133,-0.0556,252
2013,moving_average_trend,2.5234,0.3726,-0.0628,252
2013,rsi_mean_reversion,2.6549,0.3888,-0.0587,252
2013,value_momentum_blend,2.5249,0.3723,-0.0619,252
2013,quality_momentum,2.5203,0.3724,-0.062,252
2013,quality_low_vol,2.5515,0.3567,-0.0589,252
2013,composite_factor_score,2.5035,0.3696,-0.0628,252
2013,volatility_targeting,2.5193,0.3679,-0.061,252
2013,earnings_surprise_momentum,2.7444,0.4754,-0.06,252
2014,benchmark,1.1398,0.1618,-0.0866,252
2014,large_cap_momentum,1.0432,0.1488,-0.0815,252
2014,52_week_high_breakout,1.0757,0.1497,-0.0793,252
2014,deep_value_all_cap,1.109,0.1533,-0.0782,252
2014,high_quality_roic,1.2046,0.1567,-0.0671,252
2014,low_volatility_shield,1.3899,0.18,-0.0574,252
2014,dividend_aristocrats,1.5447,0.1899,-0.0498,252
2014,moving_average_trend,1.0721,0.149,-0.0788,252
2014,rsi_mean_reversion,1.1386,0.1567,-0.0761,252
2014,value_momentum_blend,1.081,0.1502,-0.0795,252
2014,quality_momentum,1.0731,0.1495,-0.0801,252
2014,quality_low_vol,1.2485,0.1654,-0.0682,252
2014,composite_factor_score,1.1034,0.153,-0.0795,252
2014,volatility_targeting,1.0958,0.1507,-0.078,252
2014,earnings_surprise_momentum,0.8906,0.1406,-0.098,252
2015,benchmark,-0.0934,-0.0056,-0.1191,252
2015,large_cap_momentum,-0.1935,-0.0224,-0.1278,252
2015,52_week_high_breakout,-0.137,-0.0129,-0.1206,252
2015,deep_value_all_cap,-0.1138,-0.0092,-0.1199,252
2015,high_quality_roic,0.0892,0.0225,-0.1069,252
2015,low_volatility_shield,-0.011,0.0071,-0.1154,252
2015,dividend_aristocrats,0.0527,0.0173,-0.1027,252
2015,moving_average_trend,-0.1466,-0.014,-0.1206,252
2015,rsi_mean_reversion,-0.0897,-0.0054,-0.1178,252
2015,value_momentum_blend,-0.1617,-0.0166,-0.1226,252
2015,quality_momentum,-0.1518,-0.0153,-0.1228,252
2015,quality_low_vol,-0.0088,0.0075,-0.111,252
2015,composite_factor_score,-0.1335,-0.0125,-0.1221,252
2015,volatility_targeting,-0.1616,-0.0158,-0.1217,252
2015,earnings_surprise_momentum,-0.1311,-0.0107,-0.1299,252
2016,benchmark,1.0131,0.1766,-0.1092,252
2016,large_cap_momentum,0.8759,0.1513,-0.1058,252
2016,52_week_high_breakout,0.984,0.167,-0.0995,252
2016,deep_value_all_cap,0.9051,0.1508,-0.0989,252
2016,high_quality_roic,0.9626,0.1517,-0.0886,252
2016,low_volatility_shield,1.0759,0.1666,-0.0859,252
2016,dividend_aristocrats,0.9832,0.1414,-0.068,252
2016,moving_average_trend,0.9,0.1485,-0.0964,252
2016,rsi_mean_reversion,0.8656,0.1444,-0.1005,252
2016,value_momentum_blend,0.9375,0.1584,-0.0996,252
2016,quality_momentum,0.9432,0.16,-0.1001,252
2016,quality_low_vol,0.9583,0.1517,-0.0898,252
2016,composite_factor_score,0.9696,0.1644,-0.1003,252
2016,volatility_targeting,0.9361,0.1556,-0.0977,252
2016,earnings_surprise_momentum,0.3151,0.0566,-0.103,252
2017,benchmark,2.6499,0.2448,-0.0287,251
2017,large_cap_momentum,2.3589,0.2085,-0.0311,251
2017,52_week_high_breakout,2.3171,0.2066,-0.0321,251
2017,deep_value_all_cap,2.405,0.2066,-0.028,251
2017,high_quality_roic,2.5116,0.1995,-0.0242,251
2017,low_volatility_shield,2.4533,0.1954,-0.026,251
2017,dividend_aristocrats,2.5106,0.1823,-0.0214,251
2017,moving_average_trend,2.3259,0.2011,-0.0286,251
2017,rsi_mean_reversion,2.3996,0.2034,-0.0265,251
2017,value_momentum_blend,2.3663,0.2045,-0.0288,251
2017,quality_momentum,2.3198,0.201,-0.029,251
2017,quality_low_vol,2.4829,0.2008,-0.0255,251
2017,composite_factor_score,2.372,0.2043,-0.0287,251
2017,volatility_targeting,2.3734,0.2038,-0.0288,251
2017,earnings_surprise_momentum,2.1047,0.2217,-0.0406,251
2018,benchmark,-0.3679,-0.0498,-0.2008,251
2018,large_cap_momentum,-0.4633,-0.0648,-0.1981,251
2018,52_week_high_breakout,-0.5159,-0.0708,-0.1974,251
2018,deep_value_all_cap,-0.5017,-0.0667,-0.191,251
2018,high_quality_roic,-0.3974,-0.0483,-0.1763,251
2018,low_volatility_shield,-0.3701,-0.0426,-0.1682,251
2018,dividend_aristocrats,-0.2716,-0.0253,-0.1444,251
2018,moving_average_trend,-0.5081,-0.0682,-0.1909,251
2018,rsi_mean_reversion,-0.4485,-0.059,-0.191,251
2018,value_momentum_blend,-0.4973,-0.0666,-0.192,251
2018,quality_momentum,-0.4914,-0.0658,-0.1925,251
2018,quality_low_vol,-0.439,-0.0551,-0.1808,251
2018,composite_factor_score,-0.4972,-0.0663,-0.1919,251
2018,volatility_targeting,-0.4959,-0.0664,-0.1924,251
2018,earnings_surprise_momentum,0.0941,0.0219,-0.2068,251
2019,benchmark,2.0344,0.3236,-0.072,252
2019,large_cap_momentum,2.0208,0.3142,-0.0706,252
2019,52_week_high_breakout,2.0562,0.3087,-0.0682,252
2019,deep_value_all_cap,2.1417,0.3189,-0.0632,252
2019,high_quality_roic,2.1328,0.3027,-0.0602,252
2019,low_volatility_shield,2.2374,0.3,-0.0526,252
2019,dividend_aristocrats,2.4715,0.3093,-0.0463,252
2019,moving_average_trend,1.9615,0.2894,-0.0669,252
2019,rsi_mean_reversion,2.1344,0.3173,-0.0631,252
2019,value_momentum_blend,2.0975,0.3157,-0.066,252
2019,quality_momentum,2.0913,0.3145,-0.0659,252
2019,quality_low_vol,2.1651,0.3074,-0.0584,252
2019,composite_factor_score,2.1331,0.3181,-0.0642,252
2019,volatility_targeting,2.0934,0.3156,-0.066,252
2019,earnings_surprise_momentum,0.9828,0.154,-0.0986,252
2020,benchmark,0.6237,0.2002,-0.3831,253
2020,large_cap_momentum,0.5147,0.15,-0.3612,253
2020,52_week_high_breakout,0.4831,0.1371,-0.3626,253
2020,deep_value_all_cap,0.482,0.1362,-0.3609,253
2020,high_quality_roic,0.4417,0.1203,-0.3618,253
2020,low_volatility_shield,0.4202,0.1116,-0.356,253
2020,dividend_aristocrats,0.3454,0.0827,-0.352,253
2020,moving_average_trend,0.5445,0.1584,-0.3547,253
2020,rsi_mean_reversion,0.4912,0.1401,-0.3594,253
2020,value_momentum_blend,0.4901,0.14,-0.3625,253
2020,quality_momentum,0.4884,0.1394,-0.3621,253
2020,quality_low_vol,0.4614,0.1277,-0.3579,253
2020,composite_factor_score,0.4865,0.1385,-0.362,253
2020,volatility_targeting,0.4964,0.1425,-0.3612,253
2020,earnings_surprise_momentum,0.2585,0.0533,-0.3206,253
2021,benchmark,1.8243,0.3187,-0.075,252
2021,large_cap_momentum,1.8212,0.3009,-0.0634,252
2021,52_week_high_breakout,1.8652,0.304,-0.0628,252
2021,deep_value_all_cap,1.8915,0.3042,-0.0634,252
2021,high_quality_roic,2.0728,0.3208,-0.0549,252
2021,low_volatility_shield,1.8912,0.2861,-0.0553,252
2021,dividend_aristocrats,2.0568,0.2922,-0.0499,252
2021,moving_average_trend,1.8639,0.3035,-0.0629,252
2021,rsi_mean_reversion,1.8365,0.2964,-0.0632,252
2021,value_momentum_blend,1.855,0.3026,-0.0633,252
2021,quality_momentum,1.845,0.3013,-0.0631,252
2021,quality_low_vol,1.8983,0.2955,-0.0601,252
2021,composite_factor_score,1.8529,0.3013,-0.0633,252
2021,volatility_targeting,1.8499,0.3018,-0.0635,252
2021,earnings_surprise_momentum,1.2531,0.2469,-0.0714,252
2022,benchmark,-0.4275,-0.1106,-0.2091,251
2022,large_cap_momentum,-0.4453,-0.1082,-0.2136,251
2022,52_week_high_breakout,-0.429,-0.1008,-0.2052,251
2022,deep_value_all_cap,-0.43,-0.0993,-0.2025,251
2022,high_quality_roic,-0.4302,-0.093,-0.192,251
2022,low_volatility_shield,-0.4067,-0.0816,-0.1899,251
2022,dividend_aristocrats,-0.3761,-0.0714,-0.1717,251
2022,moving_average_trend,-0.463,-0.1018,-0.2066,251
2022,rsi_mean_reversion,-0.4029,-0.0938,-0.1974,251
2022,value_momentum_blend,-0.4421,-0.1039,-0.2072,251
2022,quality_momentum,-0.4409,-0.1041,-0.2079,251
2022,quality_low_vol,-0.4152,-0.0909,-0.1954,251
2022,composite_factor_score,-0.4468,-0.1049,-0.2075,251
2022,volatility_targeting,-0.4342,-0.1024,-0.2058,251
2022,earnings_surprise_momentum,-0.8234,-0.2084,-0.3249,251
2023,benchmark,1.0591,0.1874,-0.1358,250
2023,large_cap_momentum,1.0713,0.1781,-0.1315,250
2023,52_week_high_breakout,1.0075,0.1659,-0.1308,250
2023,deep_value_all_cap,0.9968,0.1625,-0.1277,250
2023,high_quality_roic,0.9225,0.1477,-0.1198,250
2023,low_volatility_shield,0.7336,0.1151,-0.1212,250
2023,dividend_aristocrats,0.6297,0.0941,-0.1119,250
2023,moving_average_trend,0.9623,0.1565,-0.1321,250
2023,rsi_mean_reversion,0.9462,0.1538,-0.1297,250
2023,value_momentum_blend,1.0092,0.1663,-0.1306,250
2023,quality_momentum,1.0165,0.1679,-0.1308,250
2023,quality_low_vol,0.9695,0.1539,-0.1207,250
2023,composite_factor_score,1.0379,0.1711,-0.1293,250
2023,volatility_targeting,1.0062,0.1658,-0.1309,250
2023,earnings_surprise_momentum,0.7085,0.1175,-0.1425,250
2024,benchmark,0.9522,0.1438,-0.0721,251
2024,large_cap_momentum,0.9285,0.1307,-0.0719,251
2024,52_week_high_breakout,0.9738,0.1334,-0.0712,251
2024,deep_value_all_cap,1.0066,0.1381,-0.0724,251
2024,high_quality_roic,1.0631,0.1383,-0.0731,251
2024,low_volatility_shield,0.9727,0.1251,-0.0803,251
2024,dividend_aristocrats,1.3294,0.1547,-0.0699,251
2024,moving_average_trend,0.9286,0.1293,-0.0736,251
2024,rsi_mean_reversion,0.9275,0.1274,-0.0713,251
2024,value_momentum_blend,0.9786,0.1357,-0.0727,251
2024,quality_momentum,0.9673,0.1344,-0.0727,251
2024,quality_low_vol,1.0297,0.1358,-0.0725,251
2024,composite_factor_score,0.9761,0.1354,-0.0733,251
2024,volatility_targeting,0.9923,0.1375,-0.0726,251
2024,earnings_surprise_momentum,0.5626,0.0925,-0.0959,251
